time,v, gamma, altitude, skin_temp
0.000000000000000000e+00,3.000000000000000000e+03,-1.745329251994329478e-01,3.000000000000000000e+04,3.000000000000000000e+02
1.000000000000000056e-01,2.997189732218975223e+03,-1.688024701189346499e-01,2.988405647092175423e+04,3.001018964508481872e+02
2.000000000000000111e-01,2.994319586604861342e+03,-1.629817468051438512e-01,2.977404283392194338e+04,3.002051415788261579e+02
3.000000000000000444e-01,2.991365300589616709e+03,-1.570793219401976359e-01,2.967872511122797005e+04,3.003095935774206851e+02
4.000000000000000222e-01,2.988370400346874703e+03,-1.510975035751143947e-01,2.958591273567303142e+04,3.004151371531474410e+02
5.000000000000000000e-01,2.985327839356438744e+03,-1.450382639331943002e-01,2.949805678116283889e+04,3.005217410963774114e+02
6.000000000000000888e-01,2.982238960174348904e+03,-1.389059371606532756e-01,2.941551816997425703e+04,3.006293251258354076e+02
7.000000000000000666e-01,2.979110259324644176e+03,-1.327040817863229527e-01,2.933704421198691853e+04,3.007378137161741165e+02
8.000000000000000444e-01,2.975946384702035175e+03,-1.264357656479279945e-01,2.926184219802775624e+04,3.008471420527824876e+02
9.000000000000000222e-01,2.972750135571904138e+03,-1.201035658920861504e-01,2.918957939987101418e+04,3.009572560317852776e+02
1.000000000000000000e+00,2.969522462570304469e+03,-1.137095689743081450e-01,2.912038307023822563e+04,3.010681122600433355e+02
1.100000000000000089e+00,2.966262467703961647e+03,-1.072553706589978173e-01,2.905484044279824229e+04,3.011796780551536017e+02
1.200000000000000178e+00,2.962968178969351356e+03,-1.007429333355177037e-01,2.899390802578449802e+04,3.012919155893130210e+02
1.300000000000000044e+00,2.959641945540923189e+03,-9.417690715668079748e-02,2.893767950716930500e+04,3.014047388829409897e+02
1.400000000000000133e+00,2.956288084353494014e+03,-8.756136496742418507e-02,2.888555822896313475e+04,3.015180732707349875e+02
1.500000000000000000e+00,2.952910497303927059e+03,-8.090008840391128830e-02,2.883702024377180351e+04,3.016318496385885055e+02
1.600000000000000089e+00,2.949512663164310197e+03,-7.419663172667506634e-02,2.879162728139039245e+04,3.017460032364827498e+02
1.700000000000000178e+00,2.946097637581955041e+03,-6.745432182061820992e-02,2.874902674880324776e+04,3.018604736784868123e+02
1.800000000000000044e+00,2.942668053079398760e+03,-6.067625819501305806e-02,2.870895173018398054e+04,3.019752049427575002e+02
1.900000000000000133e+00,2.939226119054401352e+03,-5.386531298350157732e-02,2.867122098689546328e+04,3.020901453715394496e+02
2.000000000000000000e+00,2.935773621779948371e+03,-4.702413094409547967e-02,2.863573895748983341e+04,3.022052476711650684e+02
2.100000000000000089e+00,2.932311924404249112e+03,-4.015512945917601439e-02,2.860249575770849333e+04,3.023204689120544799e+02
2.200000000000000178e+00,2.928841966950737515e+03,-3.326049853549420399e-02,2.857156718048210678e+04,3.024357705287156932e+02
2.300000000000000266e+00,2.925364266318070804e+03,-2.634220080417071230e-02,2.854311469593060247e+04,3.025511183197443756e+02
2.400000000000000355e+00,2.921878916280131762e+03,-1.940197152069579600e-02,2.851738545136317407e+04,3.026664824478240803e+02
2.500000000000000000e+00,2.918385587486026907e+03,-1.244131856492949884e-02,2.849471227127828388e+04,3.027818374397261323e+02
2.600000000000000089e+00,2.914883527460087407e+03,-5.461522441101387959e-03,2.847551365736364824e+04,3.028971621863095720e+02
2.700000000000000178e+00,2.911371317181025915e+03,1.535624570562804658e-03,2.846023100023551160e+04,3.030124344867109585e+02
2.800000000000000266e+00,2.907845176720879408e+03,8.538094206169797792e-03,2.844828380649781684e+04,3.031275532554612369e+02
2.900000000000000355e+00,2.904306154057516778e+03,1.553961328187466323e-02,2.843914451467906838e+04,3.032424488143130361e+02
3.000000000000000000e+00,2.900756597896726817e+03,2.253728630642251596e-02,2.843252918060030788e+04,3.033570762121856319e+02
3.100000000000000089e+00,2.897198701642077594e+03,2.952836791822316398e-02,2.842817991855793298e+04,3.034713929642520611e+02
3.200000000000000178e+00,2.893634503394913281e+03,3.651026288535092618e-02,2.842586490132366816e+04,3.035853590519390650e+02
3.300000000000000266e+00,2.890065885954357782e+03,4.348052610554475894e-02,2.842537836014458662e+04,3.036989369229268618e+02
3.400000000000000355e+00,2.886494576817311554e+03,5.043686260620822842e-02,2.842654058474310295e+04,3.038120914911495447e+02
3.500000000000000000e+00,2.882922148178453881e+03,5.737712754440944807e-02,2.842919792331696226e+04,3.039247901367947406e+02
3.600000000000000089e+00,2.879350016930241054e+03,6.429932620688127987e-02,2.843322278253926561e+04,3.040370027063038378e+02
3.700000000000000178e+00,2.875779444662907281e+03,7.120161401002103596e-02,2.843851362755844821e+04,3.041487015123718152e+02
3.800000000000000266e+00,2.872211537664465595e+03,7.808229649989070764e-02,2.844499498199827576e+04,3.042598613339473559e+02
3.900000000000000355e+00,2.868647246920706493e+03,8.493982935221684738e-02,2.845261742795787359e+04,3.043704594162327339e+02
