time,velocity,gamma,altitude
0.000000000000000000e+00,3.000000000000000000e+03,-1.745329251994329478e-01,3.000000000000000000e+04
1.000000000000000000e+00,2.970777735649276110e+03,-1.131868841503228112e-01,2.912790326424468367e+04
2.000000000000000000e+00,2.940978066352089627e+03,-5.260490819496645154e-02,2.862943280010792296e+04
3.000000000000000000e+00,2.910926948885031379e+03,7.264406450053870201e-03,2.840178823015763555e+04
4.000000000000000000e+00,2.880762340008452611e+03,6.640621506387717199e-02,2.839458789732523292e+04
5.000000000000000000e+00,2.850637682267174569e+03,1.248296163234074718e-01,2.855581216436710747e+04
6.000000000000000000e+00,2.820747246029496637e+03,1.825774304251986668e-01,2.882510019488998660e+04
7.000000000000000000e+00,2.791282973657908769e+03,2.397049422748450676e-01,2.914489412530394475e+04
8.000000000000000000e+00,2.762216747069394842e+03,2.961803411144025566e-01,2.951592335189786900e+04
9.000000000000000000e+00,2.733552540851743288e+03,3.520029942623683628e-01,2.993101687647104700e+04
1.000000000000000000e+01,2.705313208962804310e+03,4.071808731072362741e-01,3.037879766488728274e+04
1.100000000000000000e+01,2.677526278658212959e+03,4.617228136027888841e-01,3.084738028085353289e+04
1.200000000000000000e+01,2.650220748561308028e+03,5.156380212677095232e-01,3.132515714717573064e+04
1.300000000000000000e+01,2.623392654938194937e+03,5.689339547451630619e-01,3.180902024889049790e+04
1.400000000000000000e+01,2.597026068699827192e+03,6.216207637875998948e-01,3.229887128374885651e+04
1.500000000000000000e+01,2.571110068342678005e+03,6.737085554723100111e-01,3.279362304224469699e+04
1.600000000000000000e+01,2.545637642996451177e+03,7.252068147679648913e-01,3.329148818886495428e+04
1.700000000000000000e+01,2.520605692424079280e+03,7.761244045346170628e-01,3.378997926208959689e+04
1.800000000000000000e+01,2.496015027021726382e+03,8.264695655237002114e-01,3.428590867439163412e+04
1.900000000000000000e+01,2.471868439347470940e+03,8.762500617940744974e-01,3.477583635879938811e+04
2.000000000000000000e+01,2.448149945982811005e+03,9.254751575182804668e-01,3.526079093470724183e+04
2.100000000000000000e+01,2.424842817718227252e+03,9.741545879270083752e-01,3.574196224283163610e+04
2.200000000000000000e+01,2.401933964648339952e+03,1.022297566474224650e+00,3.621979677889717277e+04
2.300000000000000000e+01,2.379411812487458064e+03,1.069912878853349181e+00,3.669450382964676828e+04
2.400000000000000000e+01,2.357266302569578784e+03,1.117008882997255315e+00,3.716605547284161003e+04
2.500000000000000000e+01,2.335488891848386629e+03,1.163593509078270305e+00,3.763418657726120728e+04
2.600000000000000000e+01,2.314072552897255264e+03,1.209674259508174199e+00,3.809839480270336935e+04
2.700000000000000000e+01,2.293011773909244766e+03,1.255258208938200948e+00,3.855794059998419834e+04
2.800000000000000000e+01,2.272302558697105269e+03,1.300352004259038186e+00,3.901184721093808184e+04
2.900000000000000000e+01,2.251940681053336448e+03,1.344962155434207718e+00,3.945927818731676962e+04
3.000000000000000000e+01,2.231913185475147202e+03,1.389096544651328591e+00,3.990131177494923031e+04
3.100000000000000000e+01,2.212209125386440974e+03,1.432762692681694983e+00,4.033857990123290801e+04
3.200000000000000000e+01,2.192818807468658179e+03,1.475967787211136306e+00,4.077149770631972933e+04
3.300000000000000000e+01,2.173733186963489061e+03,1.518718777771270068e+00,4.120039827345656522e+04
3.400000000000000000e+01,2.154943867672877332e+03,1.561022375739500312e+00,4.162553262898523099e+04
3.500000000000000000e+01,2.136443101959016531e+03,1.602885054339018955e+00,4.204706974234250083e+04
3.600000000000000000e+01,2.118223790744353209e+03,1.644313048638804453e+00,4.246509652606010059e+04
3.700000000000000000e+01,2.100279483511585568e+03,1.685312355553623131e+00,4.287961783576470771e+04
3.800000000000000000e+01,2.082604378303662543e+03,1.725888733844028522e+00,4.329055647017794399e+04
3.900000000000000000e+01,2.065193321723785630e+03,1.766047704116360695e+00,4.369775317111639015e+04
4.000000000000000000e+01,2.048041808935407516e+03,1.805794548822748258e+00,4.410096662349156395e+04
4.100000000000000000e+01,2.031145983662232766e+03,1.845134312261106135e+00,4.449987345530995663e+04
4.200000000000000000e+01,2.014502638188217816e+03,1.884071800575136457e+00,4.489406823767298920e+04
4.300000000000000000e+01,1.998109213357570525e+03,1.922611581754329002e+00,4.528306348477704159e+04
4.400000000000000000e+01,1.981963721260239481e+03,1.960757839908141564e+00,4.566639626064132608e+04
4.500000000000000000e+01,1.966060277538958417e+03,1.998515460355100748e+00,4.604438763730356732e+04
4.600000000000000000e+01,1.950390097228170816e+03,2.035890274239405606e+00,4.641769842935995257e+04
4.700000000000000000e+01,1.934944924334763300e+03,2.072887924895234768e+00,4.678691776128448691e+04
4.800000000000000000e+01,1.919717075462874845e+03,2.109513848535673919e+00,4.715256060990847618e+04
4.900000000000000000e+01,1.904699439813894969e+03,2.145773274252719798e+00,4.751506780442051968e+04
5.000000000000000000e+01,1.889885479186464863e+03,2.181671224017276867e+00,4.787480602636649564e+04
5.100000000000000000e+01,1.875269227976476714e+03,2.217212512679158198e+00,4.823206780964957579e+04
5.200000000000000000e+01,1.860845293177074836e+03,2.252401747967085921e+00,4.858707154053021804e+04
5.300000000000000000e+01,1.846608854378654087e+03,2.287243330488690773e+00,4.893996145762616652e+04
5.400000000000000000e+01,1.832555663768860995e+03,2.321741453730512994e+00,4.929080765191245882e+04
5.500000000000000000e+01,1.818682046132593996e+03,2.355900104058000544e+00,4.963960606672141876e+04
5.600000000000000000e+01,1.804984898852001834e+03,2.389723060715511327e+00,4.998627849774266360e+04
5.700000000000000000e+01,1.791461691906485612e+03,2.423213895826310971e+00,5.033067259302308958e+04
5.800000000000000000e+01,1.778110467872697200e+03,2.456375974392574602e+00,5.067256185296690091e+04
5.900000000000000000e+01,1.764929841924540142e+03,2.489212454295385957e+00,5.101164563033555896e+04
6.000000000000000000e+01,1.751919001833169204e+03,2.521726286294737385e+00,5.134754913024784037e+04
6.100000000000000000e+01,1.739077707966990147e+03,2.553920214029530289e+00,5.167982341017980798e+04
6.200000000000000000e+01,1.726406293291660859e+03,2.585796774017574684e+00,5.200794537996479630e+04
6.300000000000000000e+01,1.713905663370090451e+03,2.617358295655589639e+00,5.233131780179344059e+04
6.400000000000000000e+01,1.701577296362438574e+03,2.648606901219202836e+00,5.264926929021367687e+04
6.500000000000000000e+01,1.689423243026117234e+03,2.679544505862951009e+00,5.296105431213069824e+04
6.600000000000000000e+01,1.677446684369894228e+03,2.710171508990800504e+00,5.326610758489886939e+04
6.700000000000000000e+01,1.665642155996268684e+03,2.740490715230194496e+00,5.356517641612443549e+04
6.800000000000000000e+01,1.653998806170304533e+03,2.770507974214009295e+00,5.385937169190856366e+04
6.900000000000000000e+01,1.642506644078711815e+03,2.800228820918150507e+00,5.414969533859827789e+04
7.000000000000000000e+01,1.631156549573735219e+03,2.829658468639427493e+00,5.443704010990645475e+04
7.100000000000000000e+01,1.619940273173154310e+03,2.858801808995554694e+00,5.472218958691184525e+04
7.200000000000000000e+01,1.608850436060283528e+03,2.887663411925151635e+00,5.500581817805906758e+04
7.300000000000000000e+01,1.597880530083972644e+03,2.916247525687741593e+00,5.528849111915859976e+04
7.400000000000000000e+01,1.587024917758606080e+03,2.944558076863752927e+00,5.557066447338676517e+04
7.500000000000000000e+01,1.576278832264103357e+03,2.972598670354519079e+00,5.585268513128577615e+04
7.600000000000000000e+01,1.565638377445918650e+03,3.000372589382277688e+00,5.613479081076369039e+04
7.700000000000000000e+01,1.555100527815041687e+03,3.027882795490171031e+00,5.641711005709443998e+04
7.800000000000000000e+01,1.544663128547996394e+03,3.055131928542245578e+00,5.669966224291780964e+04
7.900000000000000000e+01,1.534324895486842252e+03,3.082122306723453775e+00,5.698235756823945849e+04
8.000000000000000000e+01,1.524085415139173620e+03,3.108855926539651815e+00,5.726499706043089100e+04
8.100000000000000000e+01,1.513945144678119505e+03,3.135334462817600087e+00,5.754727257422949333e+04
8.200000000000000000e+01,1.503905411942344017e+03,3.161559268704964509e+00,5.782876679173851153e+04
8.300000000000000000e+01,1.493968415436046143e+03,3.187531375670315192e+00,5.810895322242703696e+04
8.400000000000000000e+01,1.484137224328960428e+03,3.213251493503127332e+00,5.838719620313004270e+04
8.500000000000000000e+01,1.474415778456355383e+03,3.238720010313780318e+00,5.866275089804836171e+04
8.600000000000000000e+01,1.464808888319035077e+03,3.263936992533558179e+00,5.893476329874868679e+04
8.700000000000000000e+01,1.455322235083338683e+03,3.288902184914650029e+00,5.920227022416357067e+04
8.800000000000000000e+01,1.445962370581139794e+03,3.313615010530148730e+00,5.946419932059143321e+04
8.900000000000000000e+01,1.436736717309847336e+03,3.338074570774053118e+00,5.971936906169656140e+04
9.000000000000000000e+01,1.427653568432404882e+03,3.362279645361265779e+00,5.996648874850909488e+04
9.100000000000000000e+01,1.418721527520161999e+03,3.386228845669189802e+00,6.020424297296920122e+04
9.200000000000000000e+01,1.409921181425966552e+03,3.409928721934349483e+00,6.043543526855010714e+04
9.300000000000000000e+01,1.401231875939364954e+03,3.433387098293439799e+00,6.066271795270362782e+04
9.400000000000000000e+01,1.392644692605556429e+03,3.456608678274510016e+00,6.088694381260179944e+04
9.500000000000000000e+01,1.384151546415963367e+03,3.479597850696862338e+00,6.110887415802985197e+04
9.600000000000000000e+01,1.375745185808230417e+03,3.502358689671050573e+00,6.132917882138620189e+04
9.700000000000000000e+01,1.367419192666224490e+03,3.524894954598880581e+00,6.154843615768243762e+04
9.800000000000000000e+01,1.359167982320034753e+03,3.547210090173410713e+00,6.176713304454337049e+04
9.900000000000000000e+01,1.350986803545973089e+03,3.569307226378952258e+00,6.198566488220698375e+04
1.000000000000000000e+02,1.342871738566573413e+03,3.591189178491068112e+00,6.220433559352443262e+04
1.010000000000000000e+02,1.334819703050592125e+03,3.612858447076573665e+00,6.242335762396009522e+04
1.020000000000000000e+02,1.326828446113008113e+03,3.634317217993536797e+00,6.264285194159152161e+04
1.030000000000000000e+02,1.318896550315022751e+03,3.655567362391276998e+00,6.286284803710944107e+04
1.040000000000000000e+02,1.311023431664059444e+03,3.676610436710366692e+00,6.308328392381779850e+04
1.050000000000000000e+02,1.303209339613764087e+03,3.697447682682630798e+00,6.330400613763371075e+04
1.060000000000000000e+02,1.295455357064005057e+03,3.718080027331145399e+00,6.352476973708748119e+04
1.070000000000000000e+02,1.287763400360872993e+03,3.738508082970240398e+00,6.374523830332261423e+04
1.080000000000000000e+02,1.280136219296681247e+03,3.758732147205496421e+00,6.396498394009580079e+04
1.090000000000000000e+02,1.272577397109965204e+03,3.778752202933747917e+00,6.418348727377691830e+04
1.100000000000000000e+02,1.265091350485482735e+03,3.798567918343080052e+00,6.440013745334903069e+04
1.110000000000000000e+02,1.257683329554213742e+03,3.818178646912831820e+00,6.461423215040840296e+04
1.120000000000000000e+02,1.250359417893361297e+03,3.837583427413592929e+00,6.482497755916447932e+04
1.130000000000000000e+02,1.243126532526350047e+03,3.856780983907206917e+00,6.503148839643989049e+04
1.140000000000000000e+02,1.235992423922827356e+03,3.875769725746768923e+00,6.523278790167047555e+04
1.150000000000000000e+02,1.228965675998663301e+03,3.894547747576626140e+00,6.542780783690523822e+04
1.160000000000000000e+02,1.222055210673463989e+03,3.913112989080831827e+00,6.561544746022956679e+04
1.170000000000000000e+02,1.215236772170638687e+03,3.931474175506538771e+00,6.579853161286952673e+04
1.180000000000000000e+02,1.208489409124225858e+03,3.949639332950803272e+00,6.597940438351607008e+04
1.190000000000000000e+02,1.201809275356758008e+03,3.967611013540986775e+00,6.615836451870667224e+04
1.200000000000000000e+02,1.195192867044366722e+03,3.985391625036676100e+00,6.633567860284767812e+04
1.210000000000000000e+02,1.188637022716784259e+03,4.002983430829686107e+00,6.651158105821417121e+04
1.220000000000000000e+02,1.182138923257342185e+03,4.020388549944057921e+00,6.668627414495010453e+04
1.230000000000000000e+02,1.175696091902971830e+03,4.037608957036058932e+00,6.685992796106816968e+04
1.240000000000000000e+02,1.169306394244205194e+03,4.054646482394184126e+00,6.703268044244991324e+04
1.250000000000000000e+02,1.162968038225173132e+03,4.071502811939153865e+00,6.720463736284566403e+04
1.260000000000000000e+02,1.156679574143606942e+03,4.088179487223917441e+00,6.737587233387456217e+04
1.270000000000000000e+02,1.150439894650837687e+03,4.104677905433647744e+00,6.754642680502457370e+04
1.280000000000000000e+02,1.144248234751796190e+03,4.120999319385748372e+00,6.771631006365240319e+04
1.290000000000000000e+02,1.138104171805013493e+03,4.137144837529846519e+00,6.788549923498365388e+04
1.300000000000000000e+02,1.132007625522619946e+03,4.153115423947796536e+00,6.805393928211265302e+04
1.310000000000000000e+02,1.125958857970345889e+03,4.168911898353680812e+00,6.822154300600256829e+04
1.320000000000000000e+02,1.119958473567522105e+03,4.184534936093807111e+00,6.838819104548537871e+04
1.330000000000000000e+02,1.114007419087078461e+03,4.199985068146711242e+00,6.855373187726186006e+04
1.340000000000000000e+02,1.108106983655545264e+03,4.215262681123155275e+00,6.871798181590157037e+04
1.350000000000000000e+02,1.102258798753052133e+03,4.230368017266126657e+00,6.888072501384290808e+04
1.360000000000000000e+02,1.096464838213329131e+03,4.245301174450841764e+00,6.904171346139306843e+04
1.370000000000000000e+02,1.090727418223706081e+03,4.260062106184741459e+00,6.920066698672802886e+04
1.380000000000000000e+02,1.085049197325111891e+03,4.274650621607496426e+00,6.935727325589259272e+04
1.390000000000000000e+02,1.079433176412076591e+03,4.289066385491000055e+00,6.951118777280037466e+04
1.400000000000000000e+02,1.073882698732728841e+03,4.303308918239376446e+00,6.966203387923375703e+04
1.410000000000000000e+02,1.068401449888798197e+03,4.317377595888973296e+00,6.980940275484397716e+04
1.420000000000000000e+02,1.062984955144825790e+03,4.331274550809643742e+00,6.995374392951722257e+04
1.430000000000000000e+02,1.057622505786855299e+03,4.345004324962194353e+00,7.009612222405178181e+04
1.440000000000000000e+02,1.052311932049485677e+03,4.358568708462899899e+00,7.023668677421459870e+04
1.450000000000000000e+02,1.047051243065363678e+03,4.371969406362012478e+00,7.037557127489763661e+04
1.460000000000000000e+02,1.041838590832703403e+03,4.385208050590872375e+00,7.051289779989264207e+04
1.470000000000000000e+02,1.036672270215286289e+03,4.398286199961907172e+00,7.064877680189111561e+04
1.480000000000000000e+02,1.031550718942461572e+03,4.411205340168631750e+00,7.078330711248432635e+04
1.490000000000000000e+02,1.026472517609145598e+03,4.423966883785646509e+00,7.091657594216334110e+04
1.500000000000000000e+02,1.021436389675821715e+03,4.436572170268642701e+00,7.104865888031896611e+04
1.510000000000000000e+02,1.016441201468541408e+03,4.449022465954395322e+00,7.117961989524177625e+04
1.520000000000000000e+02,1.011485962178923160e+03,4.461318964060767556e+00,7.130951133412210038e+04
